anyo,fecha_exportacion,ensenanza,curso,codigo,nombre_cas,nombre_val
2021,19/10/2023 16:19:45,5,2712309678,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712309678,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,Anglés Tècnic I-M / Horari reservat per a la docència en anglés
2021,19/10/2023 16:19:45,5,2712309678,0156,Inglés,Anglés
2021,19/10/2023 16:19:45,5,2712309678,1226,Marketing en la actividad comercial,Màrqueting en l'activitat comercial
2021,19/10/2023 16:19:45,5,2712309678,1229,Gestión de compras,Gestió de compres
2021,19/10/2023 16:19:45,5,2712309678,1231,Dinamización del punto de venta,Dinamització del punt de venda
2021,19/10/2023 16:19:45,5,2712309678,1232,Procesos de venta,Processos de venda
2021,19/10/2023 16:19:45,5,2712309678,1233,Aplicaciones informáticas para el comercio,Aplicacions informàtiques per al comerç
2021,19/10/2023 16:19:45,5,2712309678,1236,Formación y orientación laboral,Formació i orientació laboral
2021,19/10/2023 16:19:45,5,2712309685,TU02CF,Tutoría Segundo,Tutoria Segon
2021,19/10/2023 16:19:45,5,2712309685,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,Anglés Tècnic II-M / Horari reservat per a la docència en anglés
2021,19/10/2023 16:19:45,5,2712309685,1227,Gestión de un pequeño comercio,Gestió d'un xicotet comerç
2021,19/10/2023 16:19:45,5,2712309685,1228,Técnicas de almacén,Tècniques de magatzem
2021,19/10/2023 16:19:45,5,2712309685,1230,Venta técnica,Venda tècnica
2021,19/10/2023 16:19:45,5,2712309685,1234,Servicios de atención comercial,Servicis d'atenció comercial
2021,19/10/2023 16:19:45,5,2712309685,1235,Comercio electrónico,Comerç electrònic
2021,19/10/2023 16:19:45,5,2712309685,1237,Formación en centros de trabajo,Formació en centres de treball
2021,19/10/2023 16:19:45,5,2712312775,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712312775,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,Inglés Técnico I-S / Horario reservado para la docencia en inglés
2021,19/10/2023 16:19:45,5,2712312775,1370,Fisiopatología general,Fisiopatologia general
2021,19/10/2023 16:19:45,5,2712312775,1367,Gestión de muestras biológicas,Gestió de mostres biològiques
2021,19/10/2023 16:19:45,5,2712312775,1368,Técnicas generales de laboratorio,Tècniques generals de laboratori
2021,19/10/2023 16:19:45,5,2712312775,1369,Biología molecular y citogenética,Biologia molecular i citogenètica
2021,19/10/2023 16:19:45,5,2712312775,1376,Formación y orientación laboral,Formació i orientació laboral
2021,19/10/2023 16:19:45,5,2712312782,TU02CF,Tutoría Segundo,Tutoria Segon
2021,19/10/2023 16:19:45,5,2712312782,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,Anglés Tècnic II-S / Horari reservat per a la docència en anglés
2021,19/10/2023 16:19:45,5,2712312782,1375,Proyecto de laboratorio clínico y biomédico,Projecte de laboratori clínic i biomèdic
2021,19/10/2023 16:19:45,5,2712312782,1378,Formación en centros de trabajo,Formació en centres de treball
2021,19/10/2023 16:19:45,5,2712312782,1371,Análisis bioquímico,Anàlisi bioquímica
2021,19/10/2023 16:19:45,5,2712312782,1372,Técnicas de inmunodiagnóstico,Tècniques d¿immunodiagnòstic
2021,19/10/2023 16:19:45,5,2712312782,1373,Microbiología clínica,Microbiologia clínica
2021,19/10/2023 16:19:45,5,2712312782,1374,Técnicas de análisis hematológico,Tècniques d¿anàlisi hematològica
2021,19/10/2023 16:19:45,5,2712312782,1377,Empresa e iniciativa emprendedora,Empresa i iniciativa emprenedora
2021,19/10/2023 16:19:45,5,2712312846,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712312846,028502,Técnicas básicas de enfermería,Tècniques bàsiques d'infermeria
2021,19/10/2023 16:19:45,5,2712312846,028504,Promoción de la salud y apoyo psicológico al paciente,Promoció de la salut i suport psicològic al pacient
2021,19/10/2023 16:19:45,5,2712312846,028505,Técnicas de ayuda odontológica/estomatológica,Tècniques d'ajuda odontològica/estomatològica
2021,19/10/2023 16:19:45,5,2712312846,028001,Formación y orientación laboral,Formació i orientació laboral
2021,19/10/2023 16:19:45,5,2712312846,028503,Higiene del medio hospitalario y limpieza de material,Higiene del medi hospitalari i neteja de material
2021,19/10/2023 16:19:45,5,2712312846,028501,Operaciones administrativas y documentación sanitaria,Operacions administratives i documentació sanitària
2021,19/10/2023 16:19:45,5,2712312846,028100,Relaciones en el equipo de trabajo,Relacions en l'equip de treball
2021,19/10/2023 16:19:45,5,2712312853,TU02CF,Tutoría Segundo,Tutoria Segon
2021,19/10/2023 16:19:45,5,2712312853,028601,Formación en Centros de Trabajo,Formació en Centres de Treball
2021,19/10/2023 16:19:45,5,2712309749,TU02CF,Tutoría Segundo,Tutoria Segon
2021,19/10/2023 16:19:45,5,2712309749,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,Anglés Tècnic II-S / Horari reservat per a la docència en anglés
2021,19/10/2023 16:19:45,5,2712309749,0825,Financiación internacional,Finançament internacional
2021,19/10/2023 16:19:45,5,2712309749,0823,Marketing internacional,Màrqueting internacional
2021,19/10/2023 16:19:45,5,2712309749,0827,Comercio digital internacional,Comerç digital internacional
2021,19/10/2023 16:19:45,5,2712309749,0822,Sistema de información de mercados,Sistema d'informació de mercats
2021,19/10/2023 16:19:45,5,2712309749,0824,Negociación internacional,Negociació internacional
2021,19/10/2023 16:19:45,5,2712309749,0830,Formación en Centros de Trabajo,Formació en Centres de Treball
2021,19/10/2023 16:19:45,5,2712309749,0826,Medios de pago internacionales,Mitjans de pagament internacionals
2021,19/10/2023 16:19:45,5,2712309749,0828,Proyecto de comercio internacional,Projecte de comerç internacional
2021,19/10/2023 16:19:45,5,2712309756,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712309756,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,Inglés Técnico I-S / Horario reservado para la docencia en inglés
2021,19/10/2023 16:19:45,5,2712309756,0179,Inglés,Anglés
2021,19/10/2023 16:19:45,5,2712309756,0622,Transporte internacional de mercancías,Transport internacional de mercaderies
2021,19/10/2023 16:19:45,5,2712309756,0829,Formación y orientación laboral.,Formació i orientació laboral
2021,19/10/2023 16:19:45,5,2712309756,0625,Logística de almacenamiento,Logística d'emmagatzematge
2021,19/10/2023 16:19:45,5,2712309756,0623,Gestión económica y financiera de la empresa,Gestió econòmica i financera de l'empresa
2021,19/10/2023 16:19:45,5,2712309756,0627,Gestión administrativa del comercio internacional,Gestió administrativa del comerç internacional
2021,19/10/2023 16:19:45,5,2712309772,TU02CF,Tutoría Segundo,Tutoria Segon
2021,19/10/2023 16:19:45,5,2712309772,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,Anglés Tècnic II-S / Horari reservat per a la docència en anglés
2021,19/10/2023 16:19:45,5,2712309772,0625,Logística de almacenamiento,Logística d'emmagatzematge
2021,19/10/2023 16:19:45,5,2712309772,0626,Logística de aprovisionamiento,Logística d'aprovisionament
2021,19/10/2023 16:19:45,5,2712309772,0926,Escaparatismo y diseño de espacios comerciales,Aparadorisme i disseny d'espais comercials
2021,19/10/2023 16:19:45,5,2712309772,0927,Gestión de productos y promociones en el punto de venta,Gestió de productes i promocions en el punt de venda
2021,19/10/2023 16:19:45,5,2712309772,0928,Organización de equipos de ventas,Organització d'equips de vendes
2021,19/10/2023 16:19:45,5,2712309772,0929,Técnicas de venta y negociación,Tècniques de venda i negociació
2021,19/10/2023 16:19:45,5,2712309772,0932,Proyecto de gestión de ventas y espacios comerciales,Projecte de gestió de vendes i espais comercials
2021,19/10/2023 16:19:45,5,2712309772,0934,Formación en centros de trabajo,Formació en centres de treball
2021,19/10/2023 16:19:45,5,2712309779,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712309779,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,Inglés Técnico I-S / Horario reservado para la docencia en inglés
2021,19/10/2023 16:19:45,5,2712309779,0179,Inglés,Anglés
2021,19/10/2023 16:19:45,5,2712309779,0623,Gestión económica y financiera de la empresa,Gestió econòmica i financera de l'empresa
2021,19/10/2023 16:19:45,5,2712309779,0930,Políticas de marketing,Polítiques de màrqueting
2021,19/10/2023 16:19:45,5,2712309779,0931,Marketing digital,Màrqueting digital
2021,19/10/2023 16:19:45,5,2712309779,1010,Investigación comercial,Investigació comercial
2021,19/10/2023 16:19:45,5,2712309779,0933,Formación y orientación laboral,Formació i orientació laboral
2021,19/10/2023 16:19:45,5,2712309793,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712309793,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,Inglés Técnico I-S / Horario reservado para la docencia en inglés
2021,19/10/2023 16:19:45,5,2712309793,0179,Inglés,Anglés
2021,19/10/2023 16:19:45,5,2712309793,0623,Gestión económica y financiera de la empresa,Gestió econòmica i financera de l'empresa
2021,19/10/2023 16:19:45,5,2712309793,0930,Políticas de marketing,Polítiques de màrqueting
2021,19/10/2023 16:19:45,5,2712309793,0931,Marketing digital,Màrqueting digital
2021,19/10/2023 16:19:45,5,2712309793,1010,Investigación comercial,Investigació comercial
2021,19/10/2023 16:19:45,5,2712309793,1014,Formación y orientación laboral,Formació i orientació laboral
2021,19/10/2023 16:19:45,5,2712308780,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712308780,243265,Diseño y Fabr. Monturas Ópticas,Disseny i Fabr. Muntures Òptiques
2021,19/10/2023 16:19:45,5,2712308780,243267,"Anat., Fisiopatol. y Amet. Oculares","Anat., Fisiopatol. i Amet. Oculars"
2021,19/10/2023 16:19:45,5,2712308780,243266,At. Cliente Establ. Prod. Ópticos,At. Client Establ. Prod. Òptics
2021,19/10/2023 16:19:45,5,2712308780,243264,Proc. Fabr. Lentes Oftalmológicas,Proc. Fabr. Lents Oftàlmiques
2021,19/10/2023 16:19:45,5,2712308787,TU02CF,Tutoría Segundo,Tutoria Segon
2021,19/10/2023 16:19:45,5,2712308787,243602,Formación y Orientación Laboral,Formació i Orientació Laboral
2021,19/10/2023 16:19:45,5,2712308787,243601,Formación en Centros de Trabajo,Formació en Centres de Treball
2021,19/10/2023 16:19:45,5,2712308787,243604,"Adm., Gest. y Comer. Peq. Empresa","Adm., Gest. i Comer. Xic. Empresa"
2021,19/10/2023 16:19:45,5,2712308787,243271,Montajes y Reparaciones Ópticas,Muntatges i Reparacions Òptiques
2021,19/10/2023 16:19:45,5,2712308787,243270,Proc. Fabr. Lentes de Contacto,Proc. Fabr. Lents de Contacte
2021,19/10/2023 16:19:45,5,2712313744,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712313744,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,Anglés Tècnic I-M / Horari reservat per a la docència en anglés
2021,19/10/2023 16:19:45,5,2712313744,0437,Comunicación empresarial y atención al cliente,Comunicació empresarial i atenció al client
2021,19/10/2023 16:19:45,5,2712313744,0449,Formación y orientación laboral,Formació i orientació laboral
2021,19/10/2023 16:19:45,5,2712313744,0441,Técnica contable,Tècnica comptable
2021,19/10/2023 16:19:45,5,2712313744,0439,Empresa y administración,Empresa i administració
2021,19/10/2023 16:19:45,5,2712313744,0438,Operaciones administrativa de compra-venta,Operacions administrativa de compra-venda
2021,19/10/2023 16:19:45,5,2712313744,0440,Tratamiento informático de la información ,Tractament informàtic de la informació 
2021,19/10/2023 16:19:45,5,2712313744,0156,Inglés,Anglés
2021,19/10/2023 16:19:45,5,2712313751,TU02CF,Tutoría Segundo,Tutoria Segon
2021,19/10/2023 16:19:45,5,2712313751,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,Anglés Tècnic II-M / Horari reservat per a la docència en anglés
2021,19/10/2023 16:19:45,5,2712313751,0446,Empresa en el aula,Empresa en l'aula
2021,19/10/2023 16:19:45,5,2712313751,0443,Tratamiento de la documentación contable,Tractament de la documentació comptable
2021,19/10/2023 16:19:45,5,2712313751,0442,Operaciones administrativas de recursos humanos,Operacions administratives de recursos humans
2021,19/10/2023 16:19:45,5,2712313751,0451,Formación en centros de trabajo,Formació en centres de treball
2021,19/10/2023 16:19:45,5,2712313751,0448,Operaciones auxiliares de gestión de tesorería,Operacions auxiliars de gestió de tresoreria
2021,19/10/2023 16:19:45,5,2712313828,TU02CF,Tutoría Segundo,Tutoria Segon
2021,19/10/2023 16:19:45,5,2712313828,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,Anglés Tècnic II-S / Horari reservat per a la docència en anglés
2021,19/10/2023 16:19:45,5,2712313828,0655,Gestión logística y comercial,Gestió logística i comercial
2021,19/10/2023 16:19:45,5,2712313828,0657,Proyecto de Administración y Finanzas,Projecte d'Administració i finances
2021,19/10/2023 16:19:45,5,2712313828,0652,Gestión de recursos humanos,Gestió de recursos humans
2021,19/10/2023 16:19:45,5,2712313828,0653,Gestión financiera,Gestió financera 
2021,19/10/2023 16:19:45,5,2712313828,0656,Simulación empresarial,Simulació empresarial
2021,19/10/2023 16:19:45,5,2712313828,0660,Formación en Centros de Trabajo,Formació en Centres de Treball
2021,19/10/2023 16:19:45,5,2712313828,0654,Contabilidad y fiscalidad,Comptabilitat i fiscalitat
2021,19/10/2023 16:19:45,5,2712313835,TU01CF,Tutoría Primero,Tutoria Primer
2021,19/10/2023 16:19:45,5,2712313835,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,Inglés Técnico I-S / Horario reservado para la docencia en inglés
2021,19/10/2023 16:19:45,5,2712313835,0179,Inglés,Anglés
2021,19/10/2023 16:19:45,5,2712313835,0651,Comunicación y atención al cliente,Comunicació i atenció al client
2021,19/10/2023 16:19:45,5,2712313835,0658,Formación y orientación laboral,Formació i orientació laboral
2021,19/10/2023 16:19:45,5,2712313835,0650,Proceso integral de la actividad comercial,Procés integral de l'activitat comercial
2021,19/10/2023 16:19:45,5,2712313835,0648,Recursos humanos y responsabilidad social corporativa,Recursos humans i responsabilitat social corporativa 
2021,19/10/2023 16:19:45,5,2712313835,0649,Ofimática y proceso de la información,Ofimàtica i procés de la informació
